reseña,etiqueta
"El helado de limón tenía un sabor profundo y auténtico, ¡me encantó!",1
La textura del helado de menta era perfecta: suave y cremosa.,1
"El café fue mi favorito, su dulzura estaba muy equilibrada.",1
Definitivamente volveré por más de la variedad de cheesecake.,1
El aroma y sabor del helado de cookies and cream me transportaron a la infancia.,1
El helado de vainilla sabía demasiado artificial y empalagoso.,0
La textura del helado de chocolate estaba muy granulada y seca.,0
"El sabor a fresa era muy débil, casi no se notaba.",0
No volvería a probar el mango; me decepcionó su sabor.,0
El helado de pistacho tenía un regusto extraño que no me gustó.,0
El helado de limón sabía demasiado artificial y empalagoso.,0
La textura del helado de menta estaba muy granulada y seca.,0
"El sabor a café era muy débil, casi no se notaba.",0
No volvería a probar el cheesecake; me decepcionó su sabor.,0
El helado de cookies and cream tenía un regusto extraño que no me gustó.,0
El helado de vainilla sabía demasiado artificial y empalagoso.,0
La textura del helado de chocolate estaba muy granulada y seca.,0
"El sabor a fresa era muy débil, casi no se notaba.",0
No volvería a probar el mango; me decepcionó su sabor.,0
El helado de pistacho tenía un regusto extraño que no me gustó.,0
El helado de limón sabía demasiado artificial y empalagoso.,0
La textura del helado de menta estaba muy granulada y seca.,0
"El sabor a café era muy débil, casi no se notaba.",0
No volvería a probar el cheesecake; me decepcionó su sabor.,0
El helado de cookies and cream tenía un regusto extraño que no me gustó.,0
El helado de vainilla sabía demasiado artificial y empalagoso.,0
La textura del helado de chocolate estaba muy granulada y seca.,0
"El sabor a fresa era muy débil, casi no se notaba.",0
No volvería a probar el mango; me decepcionó su sabor.,0
El helado de pistacho tenía un regusto extraño que no me gustó.,0
El helado de limón sabía demasiado artificial y empalagoso.,0
La textura del helado de menta estaba muy granulada y seca.,0
"El sabor a café era muy débil, casi no se notaba.",0
No volvería a probar el cheesecake; me decepcionó su sabor.,0
El helado de cookies and cream tenía un regusto extraño que no me gustó.,0
El helado de vainilla sabía demasiado artificial y empalagoso.,0
La textura del helado de chocolate estaba muy granulada y seca.,0
"El sabor a fresa era muy débil, casi no se notaba.",0
No volvería a probar el mango; me decepcionó su sabor.,0
El helado de pistacho tenía un regusto extraño que no me gustó.,0
El helado de limón sabía demasiado artificial y empalagoso.,0
La textura del helado de menta estaba muy granulada y seca.,0
"El sabor a café era muy débil, casi no se notaba.",0
No volvería a probar el cheesecake; me decepcionó su sabor.,0
El helado de cookies and cream tenía un regusto extraño que no me gustó.,0
El helado de vainilla sabía demasiado artificial y empalagoso.,0
La textura del helado de chocolate estaba muy granulada y seca.,0
"El sabor a fresa era muy débil, casi no se notaba.",0
No volvería a probar el mango; me decepcionó su sabor.,0
El helado de pistacho tenía un regusto extraño que no me gustó.,0
El helado de limón sabía demasiado artificial y empalagoso.,0
La textura del helado de menta estaba muy granulada y seca.,0
"El sabor a café era muy débil, casi no se notaba.",0
No volvería a probar el cheesecake; me decepcionó su sabor.,0
El helado de cookies and cream tenía un regusto extraño que no me gustó.,0
